example,template,reply,cost
Madrid,write a detailed 3-day travel guide for {example},"Day 1:

Morning: Start your day by visiting the famous Prado Museum, which is located in the center of Madrid. It is one of the largest museums in Spain and houses a huge collection of art, including works by Spanish masters like Diego Velázquez and Francisco Goya.

Afternoon: Head to the Puerta del Sol, which is considered to be the heart of Madrid. This bustling square is home to several shops, restaurants, and cafes, and is a great place to people watch. From there, take a stroll to the Plaza Mayor, a stunning plaza lined with buildings dating back to the 17th century.

Evening: For dinner, head to the trendy Malasaña neighborhood, which is known for its vibrant nightlife and delicious tapas bars. Sample some traditional Spanish dishes like patatas bravas and chorizo.

Day 2:

Morning: Start your day with a visit to the Royal Palace of Madrid, which is one of the most visited landmarks in the city. The palace was built in the 18th century and houses a collection of art, weapons, and tapestries.

Afternoon: From the palace, take a walk through the Sabatini Gardens, which are located adjacent to the palace and offer a tranquil escape from the bustling city. After that, head to the Gran Vía, which is Madrid's most famous shopping street.

Evening: For dinner, visit the Lavapies neighborhood, which is known for its multicultural food scene. Sample some Ethiopian cuisine or try out some fusion dishes.

Day 3:

Morning: Start your last day by visiting the Retiro Park located in the heart of Madrid. The park is one of the most beautiful in the world and has several gardens, lakes, and sculptures.

Afternoon: Take a stroll down the tree-lined Paseo de la Castellana, which is one of the most famous boulevards in Spain. The boulevard is lined with high-end shops, restaurants, and luxury hotels. Make sure to visit the iconic Bernabéu Stadium, home to Real Madrid football club.

Evening: As you near the end of your trip, end your day with a flavorful meal. Head to the upscale Salamanca neighborhood and choose from one of the many high-end restaurants like the renowned Coque, which has been awarded three Michelin stars. 

Enjoy Madrid!",0.001018
Beijing,write a detailed 3-day travel guide for {example},"Sure, here is a three day travel guide for Beijing:

Day 1:

Morning: Start the day by visiting Tiananmen Square, the center of Beijing and the world's largest public square. Here you can see the iconic portrait of Mao Zedong and enjoy the stunning architecture. Then, head to the Forbidden City, located directly across from the square, which was once the palace of the emperors of the Ming and Qing Dynasties. It houses more than 9,000 rooms and has a rich history waiting to be explored.

Afternoon: After lunch, visit the Temple of Heaven, a UNESCO World Heritage site which was once used as a place for emperors to pray and make sacrifices for a good harvest. The temple is surrounded by a beautiful park perfect for taking a stroll and appreciating China's natural beauty.

Evening: End your day with a traditional Beijing dinner featuring Peking duck and other local specialties at Quanjude or Da Dong restaurant.

Day 2:

Morning: Visit the Great Wall of China at Mutianyu. This section of the wall is less crowded and offers breathtaking views of the surrounding mountains.

Afternoon: After lunch, head back to the city and explore the vibrant hutongs, the narrow traditional alleyways that lead to courtyard houses. Take a rickshaw tour around the hutongs to experience the local life and culture.

Evening: Watch a Chinese acrobatics show at Chaoyang Theatre and marvel at the performers' skills.

Day 3:

Morning: Visit the Summer Palace, a magnificent royal garden with a history that dates back to the Qing Dynasty. Enjoy the beautiful scenery, including the pavilion and the Kunming Lake.

Afternoon: After lunch, head to the National Museum of China, which is the largest museum in the country and houses a vast collection of ancient artifacts and historical relics.

Evening: End your day by visiting the Wangfujing shopping district, one of the most famous shopping streets in Beijing, and enjoy some local street food or shop at the various stores selling Chinese handicrafts.

These are just some of the many things to do in Beijing, so do not hesitate to explore and discover more of what this fascinating city has to offer.",0.0009639999999999999
Cairo,write a detailed 3-day travel guide for {example},"Day 1: Explore the Ancient History of Cairo

Start your first day in Cairo by visiting the Giza Pyramids - one of the Seven Wonders of the World. Marvel at the grandeur of the three pyramids of Khufu, Khafre, and Menkaure. Do not miss the opportunity to capture stunning photos of yourself with the panoramic view of the pyramids at the background. After the visit and some shopping at the numerous souvenir shops in the pyramid complex, head to the Sphinx and take more pictures of the giant statue.

Continue your exploration of ancient Cairo with a visit to the Egyptian Museum, which houses over 100,000 ancient artifacts, including the iconic golden mask of Tutankhamun. Be ready to be awe-inspired by the collection of mummies and antiques from various Pharaonic dynasties. Have lunch at one of the traditional cafes nearby.

As you head to the Citadel of Salah El-Din, make sure you stop by Coptic Cairo, the oldest part of Cairo, dating back to the Roman era. It is home to many ancient churches, including the Hanging Church and the church of St. George. Do not miss the opportunity to visit the Ben Ezra Synagogue, one of the oldest Jewish synagogues in Cairo.

End your first day by visiting the Citadel of Salah El-Din, a UNESCO World Heritage site constructed in the 12th century. Marvel at the fortress that overlooks Cairo, and do not miss visiting the Mosque of Muhammad Ali, which is also situated inside the citadel. It provides one of the most stunning panoramic views of the city.

Day 2: Islamic Cairo and Khan El Khalili

On day two, begin your exploration at one of the oldest mosques in Cairo, the Mosque of Ibn Tulun. The mosque is not only a significant architectural landmark but also an excellent example of Islamic art in Cairo. After that, head to Al-Azhar Park, one of the largest green spaces in the city, to enjoy the view of Cairo from a different angle.

Make your way to the heart of Cairo, Khan El Khalili - a vibrant market and a cultural icon of Islamic Cairo. Explore the narrow alleyways and traditional shops selling everything from spices, jewelry, antiques, and textiles. Do not forget to taste the traditional Egyptian dishes such as Koshary or Falafel for lunch.

In the afternoon, visit the Al-Muizz li-Din Allah Street, an open-air museum that showcases the Islamic architectural heritage of Cairo. The street is full of stunning buildings such as the Mosque of Al-Hakim bi-Amr Allah and the El-Montanabi Mosque. Also, visit the Fountain of Sultan Ahmed III and the Aqmar Mosque.

Day 3: The Nile River and Modern Cairo

On the third day, experience the tranquillity of the Nile River that flows through Cairo. Start your day by visiting the Nilometer, located on Rhoda Island, which is the point of measurement for the Nile's water level. The island is also home to the famous Manial Palace Museum, which houses an exquisite collection of decorative arts from the 19th century.

Take a felucca boat ride along the Nile to experience the city's peacefulness and see the modern Cairo skyline. After the boat ride, head to downtown Cairo, also known as ""Paris on the Nile,"" and visit the Egyptian Opera House, Cairo Tower, and Tahrir Square.

Spend your evening at the Sound and Light Show at the Giza Pyramids. Situated in front of the Sphinx, it is a magical show that tells the story of the pyramids through lights and sounds, which will leave you with a lasting memory of Cairo.

Conclusion

Cairo, as one of the oldest cities, has so much to offer to travellers with diverse interests. This 3-day guide highlights the must-visit places for history, culture, architecture and nature lovers in Cairo. Follow this guide and explore the city's ancient history, Islamic heritage, and modern developments in the heart of Egypt.",0.0017059999999999998
Rio de Janeiro,write a detailed 3-day travel guide for {example},"Day 1:
Begin your first day in Rio de Janeiro with a visit to the city's most popular attraction, the Christ the Redeemer statue. You can take a train or van to reach the top of Corcovado Mountain, where the statue is located. The views from the top are breathtaking, and you can see the entire city as well as the beautiful beaches and mountains in the distance. It's a perfect spot for taking photos.

After spending some time at the Christ the Redeemer statue, head over to the Sugarloaf Mountain. Here, you can take a cable car to the top of the mountain and enjoy stunning panoramic views of the city with its beautiful beaches and hills. The sunset views from the top of Sugarloaf are particularly spectacular.

For dinner, head to the Lapa neighborhood, famous for its lively nightlife. You can choose to dine in one of the street restaurants while enjoying live music performances. This neighborhood is fun and exciting, with people dancing, drinking, and having a great time.

Day 2:
Start your second day in Rio by visiting the famous beaches of Copacabana and Ipanema. Soak up some sun and watch the locals playing football, volleyball, and other beach games. You can rent a chair or beach umbrella to relax, or take a refreshing dip in the ocean.

In the afternoon, visit the historic neighborhood of Santa Teresa, which is known for its colonial-style architecture, narrow streets, and colorful buildings. Take a walking tour around the neighborhood to see the old mansions, street art, and the famous Lapa Arches.

For dinner, head to one of the many seafood restaurants around Ipanema beach for a taste of the freshest seafood in the city.

Day 3:
On your third and final day in Rio de Janeiro, visit the Tijuca National Park, a beautiful rainforest only a short distance from the city. Here, you can go hiking, trekking, or simply enjoy nature. The park is home to a variety of wildlife, including monkeys, birds, and more.

In the afternoon, head to the Botanical Gardens, where you can see over 6,000 species of plants and trees from around the world. This is a great place to relax and enjoy the natural beauty of Rio de Janeiro.

For dinner, head to one of the many churrascarias (Brazilian barbecues) in the city. This is a great opportunity to try some of the best steaks and meats in Brazil.

Overall, Rio de Janeiro is a vibrant and exciting city with plenty of things to see and do. Whether you're interested in nature, history, or simply enjoying the sun and the beach, there's something for everyone. Plan your trip well and you're guaranteed to have an unforgettable experience.",0.001194
Buenos Aires,write a detailed 3-day travel guide for {example},"Day 1:

Morning: Start your day with a visit to the Plaza de Mayo, the heart of Buenos Aires. Here, you can see the iconic pink presidential palace, known as the Casa Rosada, and the Monumento a la Bandera, a tribute to the Argentine flag. Take some time to explore the area's historical significance and snap some photos.

Afternoon: Grab lunch at a local favorite, El Ateneo Grand Splendid bookstore. This beautiful store is located in a converted theater, and you can enjoy a meal and a drink while admiring the stunning architecture. After lunch, stroll down the colorful Caminito street in the La Boca neighborhood. This vibrant area is famous for its brightly painted houses, street art, and tango music.

Evening: End your first day with dinner and a tango show at a classic milonga. Tango is an essential part of Argentine culture, and there is no better place to experience it than in Buenos Aires. If you're feeling adventurous, you can even try your hand at a few dance steps yourself.

Day 2:

Morning: Start your day with a visit to one of Buenos Aires' most famous landmarks, the Recoleta Cemetery. This beautiful cemetery is the final resting place of many famous Argentineans, including Eva Peron. Take a guided tour to learn more about the history and architecture of this fascinating site.

Afternoon: After visiting the cemetery, head to the nearby Recoleta neighborhood. This upscale area is known for its beautiful parks, shopping, and architecture. Take a stroll through the Plaza Francia crafts fair, grab a coffee at one of the many cafes, or visit the Palais de Glace art museum.

Evening: Spend your evening exploring the trendy Palermo neighborhood. This trendy area is full of great restaurants, bars, and boutiques. Visit one of the many craft beer bars, check out some street art, or enjoy a meal at one of the many innovative restaurants.

Day 3:

Morning: Start your day with a trip to the peaceful Japanese Gardens. This tranquil oasis is located in Buenos Aires' Palermo neighborhood and features beautiful gardens, traditional Japanese architecture, and koi ponds.

Afternoon: After visiting the gardens, head to the nearby El Rosedal park. This stunning park is home to over 18,000 rose bushes, making it a popular spot for picnics and walks. You can also rent a paddleboat and explore the park's beautiful lake.

Evening: End your last night in Buenos Aires with a trip to a traditional Argentine steakhouse. Steak is an essential part of Argentine cuisine, and there are many great options to choose from. Try a classic bife de chorizo or a more unusual cut like entraña or ojo de bife. After dinner, head to one of Buenos Aires' many music venues to soak up some live music and dancing.",0.00123
Mexico City,write a detailed 3-day travel guide for {example},"Day 1:

Start the day off with a visit to the iconic Zocalo, the main square in the heart of Mexico City. Here, you will be surrounded by historic buildings such as the impressive Metropolitan Cathedral, Palacio Nacional, and the Templo Mayor. Be sure to explore the ruins of the ancient Aztec temple of Templo Mayor, where you can learn about the city’s rich history.

After exploring the Zocalo, head over to the nearby Palacio de Bellas Artes, an ornate building home to fine arts galleries and some of the most beautiful murals in the city. From here, it's a short walk to the Alameda Central Park, where you can relax and enjoy a picnic lunch.

In the afternoon, take a taxi or a Uber to the chic neighborhood of La Condesa, known for its tree-lined streets, art deco buildings, and trendy shops. Take a leisurely walk around Parque Mexico, surrounded by a mix of beautiful residential homes and trendy restaurants. Once you’ve had your fill of exploring, grab a late dinner at one of the many upscale eateries in the area.

Day 2:

Start your day at the grand Chapultepec Park, one of the largest city parks in the world. Here, you will find plenty to occupy your day, from strolling along the trails to visiting the iconic Chapultepec Castle, a presidential palace turned museum, where you can take in breathtaking views of the city below.

After your visit to Chapultepec, take a taxi or an Uber to the bohemian neighborhood of Coyoacán. This area is where Frida Kahlo once lived, so be sure to visit the Casa Azul Museum, her former home, where you can learn about her life and art. Afterward, walk around the cobblestone streets of the neighborhood while soaking up the colorful architecture and local arts and crafts.

In the evening, head back to the neighborhood of La Roma, where you can find some of the city's best cuisine. Start the night off with a signature cocktail at one of the trendy bars in the area before indulging in a delicious dinner at one of the many gourmet restaurants.

Day 3:

Begin your day with a visit to the historic neighborhood of San Angel, known for its charming cobblestone streets, traditional-style houses, and marketplaces. Walk down Avenida San Jacinto, lined with artisanal shops, galleries, cafes, and bars. Visit the San Angel Inn, a colonial-style mansion converted into a restaurant, followed by a visit to the Saturday Bazaar, an outdoor market that features traditional Mexican arts and crafts.

From San Angel, take a short taxi ride to Xochimilco, the famous network of canals where you can board a colorful wooden boat known as a trajinera for a ride through the waterways. Here, you will find everything from floating gardens and wildlife to street vendors selling tasty snacks. Enjoy the colorful and lively ambiance while sipping on local refreshments and immersing yourself in Mexican culture.

Finally, head to the Mexico City International Airport for your departing flight. Be sure to grab some souvenirs before you go so you can remember your wonderful trip to this vibrant and exciting city.",0.001384
Lima,write a detailed 3-day travel guide for {example},"Sure, here are some ideas for a 3-day itinerary in Lima :

Day 1:

Morning: Start your day off by visiting the historic center of Lima, which is considered a UNESCO World Heritage Site. You can visit the Plaza de Armas and the Cathedral of Lima as well as the Government Palace. Be sure to check out the changing of the guard ceremony that takes place at noon.

Afternoon: Head over to the bohemian neighborhood of Barranco and explore the colorful streets, art galleries, and cafes. Stop by the Bridge of Sighs, a famous footbridge in the area. You can also visit the Mario Testino Museum, which showcases the artistic works of Peruvian photographer, Mario Testino.

Evening: Grab dinner at one of the many restaurants along the cliffs of Miraflores and enjoy the sunset views of the Pacific Ocean.

Day 2:

Morning: Start your day off by visiting the Larco Museum, which houses a vast collection of pre-Columbian art, including ceramics, textiles, and metalwork. Afterwards, make your way to the Huaca Pucllana, a pre-Inca pyramid-shaped temple located in the heart of Miraflores.

Afternoon: Take a stroll along the coast of Lima and check out the Parque del Amor, a beautiful park that features a large sculpture of two lovers embracing. If you're feeling adventurous, you can also take a paragliding tour and enjoy a bird's eye view of the city.

Evening: Head to the trendy neighborhood of San Isidro, where you can enjoy dinner at one of the many upscale restaurants in the area. Check out the Huaca Huallamarca, another pre-Inca archaeological site, nestled between modern buildings.

Day 3:

Morning: Visit the Pachacamac Temple, an archaeological site located about 30 minutes outside of Lima. It was once an important center for the worship of the god Pachacamac and contains a variety of pyramids, temples, and other structures.

Afternoon: Take a cooking class and learn how to prepare traditional Peruvian dishes such as ceviche and lomo saltado.

Evening: End your trip on a high note by attending a traditional Peruvian dance and music show at one of the many theaters in Lima, such Las Candelarias or La Dama Juana.

Overall, Lima has a lot to offer and these are just a few ideas for how to spend your time in the city. Don't hesitate to explore on your own and discover new gems along the way.",0.001104
Santiago,write a detailed 3-day travel guide for {example},"Day 1:
Start your day with a visit to Cerro San Cristobal, the tallest hill in Santiago. Take the funicular cable car up to the top for some fantastic views of the city and Andes mountains. Spend some time exploring the parks and gardens at the top of the hill and grab some lunch at one of the many food stalls or cafes. 

After lunch, head over to the Bellavista neighborhood for some shopping and a taste of local culture. Check out La Chascona, one of Pablo Neruda's former homes, which has now been turned into a museum. Take a walk through the neighborhood's colorful streets and stop at one of the many bars or restaurants for dinner and drinks.

Day 2:
Spend your second day exploring some of Santiago's many museums. Start with the National Museum of Fine Arts, which features works by Chilean and international artists. Nearby, you can also visit the Museum of Contemporary Art and the Artequin Museum, which is great for families with kids.

After lunch, explore the historic district of Santiago, including the Plaza de Armas, the Cathedral, and the Central Market. You can wander through the narrow streets admiring the colonial architecture and sampling some local street food. In the evening, head to the Santa Lucia Hill for a sunset hike and stunning views of the city.

Day 3:
On your final day, take a day trip outside of Santiago to the Cajon del Maipo. This scenic canyon is a popular spot for outdoor activities like hiking, biking, and horseback riding. There are also several hot springs and thermal baths where you can relax and soak your muscles after a long day of activities. 

In the evening, head back to Santiago and check out one of the city's many theaters or music venues. The Municipal Theater is a great spot for classical music and opera, while the Teatro Nescafe de las Artes is a more contemporary venue that hosts concerts and events. End your last night in Santiago with a delicious dinner at one of the city's top restaurants before heading back to your hotel to pack up and depart.",0.000914
Toronto,write a detailed 3-day travel guide for {example},"Day 1:
Morning:
Start your day in the heart of the city, at the CN Tower. Get an early start to avoid the crowds, and take the glass elevator up to the top. From the observation deck, enjoy breathtaking views of the city and Lake Ontario. Take a walk on the glass floor and feel like you’re walking on air! Afterward, walk to the nearby Rogers Centre to take in a Blue Jays baseball game or a concert.

Afternoon:
Take a stroll past the historic buildings of Old Town Toronto. Stop by the St. Lawrence Market for fresh produce and antiques. Grab a quick bite to eat at the market before you head over to the historic Distillery District, a pedestrian-only area filled with restaurants and galleries.

Evening:
Make your way to the Entertainment District for dinner and drinks. The area is home to the city’s best restaurants, bars, and nightclubs. End the night with a performance at the Elgin and Winter Garden Theatre, which regularly hosts plays, musicals, and ballets.

Day 2:
Morning:
Start your day at the Royal Ontario Museum. The museum features an extensive collection of world art and cultural artifacts, from dinosaur fossils to ancient Egyptian mummies. Get a behind-the-scenes look at the museum’s conservation efforts and learn about the history of natural history.

Afternoon:
Explore the hip and trendy neighbourhoods of Kensington Market and Chinatown. Browse through vintage shops, record stores, and unique cafes. Grab some Dim Sum and bubble tea before heading down to the waterfront to watch boats sail by and the sunset.

Evening:
Dinner at Casa Loma, a beautiful Gothic Revival-style castle. The castle is a popular wedding venue, and you’ll see why once you step inside. The castle boasts a beautiful garden, luxurious rooms, and a stunning view of the city skyline from the top of its tower.

Day 3:
Morning:
Spend your last day taking in the city’s stunning natural beauty in the Toronto Islands, just a short ferry ride from the city. Rent a bicycle or take a stroll through the park where you can see stunning views of the skyline and the serene lake. Don't miss out on the Centreville Amusement Park, perfect for families with younger children.

Afternoon:
If you haven't already, try some delicious international cuisine in Queen Street West, known for its array of independent cafes and restaurants. Warm up in a local coffee shop or grab a piece of avocado toast before heading on a unique shopping experience at the beautiful Victorian-era building housing the Art Gallery of Ontario.

Evening:
End your trip at the Second City Comedy Club, famous for launching the careers of Canadian comedians such as John Candy and Martin Short. Enjoy an evening of improv comedy and sketch performances before you head home or off to your next adventure.",0.0012
Vancouver,write a detailed 3-day travel guide for {example},"Day 1:

Start your day off with a walk or bike ride around the seawall in Stanley Park. The seawall is a scenic 10 km route that surrounds the park and offers stunning views of the ocean and city skyline. After your workout, head over to Granville Island to explore the public market and enjoy a delicious lunch at one of the many restaurants.

In the afternoon, take a trip to North Vancouver to visit the Capilano Suspension Bridge Park. The park offers visitors stunning views of the Capilano River and the surrounding forests, and the suspension bridge over the river is a must-see attraction. Spend some time exploring the park's trails and exhibits, and don't forget to take a ride on the Cliffwalk.

Finish your day with dinner in Gastown, one of Vancouver's oldest and most historic neighborhoods. This trendy area is known for its brick buildings, cobblestone streets, and excellent dining options.

Day 2:

Start your day early with a hike up Grouse Mountain. The hike is challenging but rewarding, with stunning views of the city and surrounding mountains. Once you reach the top, take some time to enjoy the view and explore the mountain's attractions, including a zipline, paragliding, and the Lumberjack show.

In the afternoon, visit the Museum of Anthropology at the University of British Columbia. The museum is home to one of the world's finest collections of Northwest Coast First Nations art and artifacts, with over 10,000 objects on display. The museum also features exhibits on anthropology, archaeology, and contemporary art.

For dinner, head over to Yaletown, a trendy neighborhood full of restaurants, bars, and shops. Yaletown is known for its excellent seafood, and you can find everything from sushi to fish and chips.

Day 3:

Start your day with a visit to the VanDusen Botanical Garden. This beautiful garden covers 55 acres and features over 7,500 plant species. The garden is a delight to explore, with stunning displays of flowers, shrubs, and trees.

In the afternoon, take a trip to the Vancouver Aquarium. The aquarium is home to over 50,000 animals, including beluga whales, sea otters, and dolphins. The aquarium features exhibits on marine life from around the world, and visitors can attend shows and displays featuring various animals.

For your final evening in Vancouver, visit the trendy neighborhood of Kitsilano. This neighborhood is known for its beaches, cafes, and shops. Take a stroll along the shoreline and enjoy the sunset, then head to one of the neighborhood's many bistros or pubs for dinner. Kitsilano is a perfect place to conclude your visit to Vancouver, and a great way to get a sense of the city's vibrant, laid-back culture.",0.0012
